# S1              S2
  1.4462890e+001  1.6637271e+003
  1.4173240e+001  1.3916856e+003
  2.9924270e+001  3.4393911e+003
  1.6244050e+001  1.9566823e+003
  3.1951240e+001  2.2845450e+003
  9.3663640e+000  1.4670234e+003
  1.3307070e+001  1.2196001e+003
  3.9763680e+001  6.0767248e+003
  1.6396390e+001  1.3607465e+003
  5.2540260e+000  7.9732837e+002
  3.9383790e+001  3.3951464e+003
  1.3470590e+001  1.1210284e+003
  3.6054780e+001  3.0804194e+003
  1.7951050e+001  1.2774998e+003
  1.9190430e+001  2.3293820e+003
  3.2691940e+001  3.7342956e+003
  2.7153380e+001  2.8739016e+003
  2.9457240e+001  3.0673621e+003
  5.3078990e+000  2.3720544e+003
  1.1379540e+001  1.7833792e+003
  4.9190380e+000  1.0976507e+003
  1.8096580e+001  2.0256971e+003
  2.2188830e+001  3.5636447e+003
  3.3183500e+001  2.0987137e+003
  2.5611950e+001  3.5584072e+003
  2.0458800e+001  2.7717953e+003
  3.4538420e+001  6.0212473e+003
  2.5634940e+001  3.5999321e+003
  6.9657800e+000  1.0810176e+003
  2.5594220e+001  3.9525002e+003
  1.3118520e+001  1.6949069e+003
  3.3708840e+001  3.1336234e+003
  2.8083420e+001  3.5502914e+003
  3.4196580e+001  3.3844934e+003
  1.8882120e+001  2.0983105e+003
  1.4656170e+001  1.6375610e+003
  1.8726180e+001  2.0589519e+003
  2.9687030e+001  3.4046365e+003
  3.5157540e+001  2.7100199e+003
  1.5133920e+001  2.4861105e+003
  2.8410470e+001  2.7718544e+003
  1.3981080e+001  1.6382143e+003
  2.0971440e+001  3.1600885e+003
  3.0338630e+001  3.1975693e+003
  1.0100180e+001  9.2017857e+002
  2.1503740e+001  3.6347036e+003
  1.6558820e+001  1.1546979e+003
  1.7015500e+001  4.4598958e+003
  2.8911070e+001  2.3107298e+003
  2.6495760e+001  2.9444378e+003
  2.1158420e+001  1.2667218e+003
  3.6592490e+001  3.4209125e+003
  3.6845860e+001  5.6853957e+003
